Office,Name,Party,Date assumed office
Alabama,Kay Ivey,Republican,"April 10, 2017"
Alaska,Mike Dunleavy,Republican,"December 3, 2018"
Arizona,Doug Ducey,Republican,"January 5, 2015"
Arkansas,Asa Hutchinson,Republican,"January 13, 2015"
California,Gavin Newsom,Democratic,2019
Colorado,Jared Polis,Democratic,2019
Connecticut,Ned Lamont,Democratic,2019
Delaware,John C. Carney Jr.,Democratic,"January 17, 2017"
Florida,Ron DeSantis,Republican,"January 8, 2019"
Georgia,Brian Kemp,Republican,"January 14, 2019"
Hawaii,David Ige,Democratic,"December 1, 2014"
Idaho,Brad Little,Republican,2019
Illinois,J.B. Pritzker,Democratic,2019
Indiana,Eric Holcomb,Republican,"January 9, 2017"
Iowa,Kim Reynolds,Republican,"May 24, 2017"
Kansas,Laura Kelly,Democratic,"January 14, 2019"
Kentucky,Andy Beshear,Democratic,"December 10, 2019"
Louisiana,John Bel Edwards,Democratic,"January 11, 2016"
Maine,Janet T. Mills,Democratic,"January 2, 2019"
Maryland,Larry Hogan,Republican,"January 21, 2015"
Massachusetts,Charles D. Baker,Republican,"January 8, 2015"
Michigan,Gretchen Whitmer,Democratic,"January 1, 2019"
Minnesota,Tim Walz,Democratic,"January 7, 2019"
Mississippi,Tate Reeves,Republican,"January 14, 2020"
Missouri,Mike Parson,Republican,"June 1, 2018"
Montana,Greg Gianforte,Republican,"January 4, 2021"
Nebraska,Pete Ricketts,Republican,"January 8, 2015"
Nevada,Steve Sisolak,Democratic,2019
New Hampshire,Chris Sununu,Republican,"January 5, 2017"
New Jersey,Phil Murphy,Democratic,"January 16, 2018"
New Mexico,Michelle Lujan Grisham,Democratic,"January 1, 2019"
New York,Kathy Hochul,Democratic,"August 24, 2021"
North Carolina,Roy Cooper,Democratic,"January 1, 2017"
North Dakota,Doug Burgum,Republican,"December 15, 2016"
Ohio,Richard Michael DeWine,Republican,"January 14, 2019"
Oklahoma,Kevin Stitt,Republican,"January 14, 2019"
Oregon,Kate Brown,Democratic,2015
Pennsylvania,Tom Wolf,Democratic,"January 20, 2015"
Rhode Island,Daniel McKee,Democratic,"March 2, 2021"
South Carolina,Henry McMaster,Republican,"January 24, 2017"
South Dakota,Kristi L. Noem,Republican,2019
Tennessee,Bill Lee,Republican,"January 15, 2019"
Texas,Greg Abbott,Republican,2015
Utah,Spencer Cox,Republican,"January 4, 2021"
Vermont,Phil Scott,Republican,"January 5, 2017"
Virginia,Ralph Northam,Democratic,"January 13, 2018"
Washington,Jay Inslee,Democratic,"January 16, 2013"
West Virginia,Jim Justice,Republican,"January 16, 2017"
Wisconsin,Tony Evers,Democratic,2019
Wyoming,Mark Gordon,Republican,2019
